age,device_hours_per_day,phone_unlocks,notifications_per_day,social_media_mins,study_mins,physical_activity_days,sleep_hours,sleep_quality,stress_level,productivity_score,social_media_ratio,sleep_efficiency,education_level_high school,education_level_master,education_level_phd,age_group_older,age_group_young
40,3.54,45,561,98,34,7.0,9.12379996856656,3.353627229065094,6.593288791385255,70.0,0.46139357526395597,30.597824007128064,True,False,False,False,False
27,5.65,100,393,174,102,2.0,8.83751689466956,2.90814688427508,4.126925580981799,64.0,0.5132743211423505,25.700797221961665,False,True,False,False,False
31,8.87,181,231,595,140,1.0,6.486743490405938,2.8892134520710853,1.4291394113837326,65.29930112427833,1.1180007305899902,18.74158655261538,False,False,False,False,False
41,4.05,94,268,18,121,4.0,7.600503916041014,3.097488132489784,4.995511514530647,80.0,0.07407407102575839,23.54247068087917,False,True,False,True,False
26,13.07,199,91,147,60,1.0,5.197962143808271,2.786098466055896,9.448757290004147,65.29930112427833,0.18745217817582022,14.48203435548084,False,False,False,False,False
37,4.59,73,198,9,85,0.0,10.945226162648847,2.797043847701924,1.3170610240985463,63.0,0.032679737375463425,30.614277499943096,False,False,False,False,False
18,4.95,119,553,61,188,4.0,8.422325191079652,3.06511831938304,9.923969314465092,81.0,0.20538719847181153,25.815423234979505,True,False,False,False,True
33,6.55,82,184,48,155,3.0,6.295213014211736,2.9523063893081094,1.0,73.0,0.12213740147233076,18.58539760391287,False,True,False,False,False
43,8.05,155,309,16,116,4.0,9.698407146278884,3.065844303103937,2.8660012980489773,60.0,0.033126293310014626,29.733806298601625,False,False,True,True,False
41,2.33,38,110,249,155,5.0,9.72271969916111,3.187426003154164,1.976406835980132,70.0,1.7811157524237657,30.990449590485348,True,False,False,True,False
47,7.89,129,212,31,37,4.0,6.864379263972305,3.074677273050004,8.889003899028802,60.0,0.06548373330199128,21.10575091653136,True,False,False,True,False
13,4.59,139,474,39,78,7.0,7.316848708334774,3.382698590755737,8.764770571840668,60.0,0.14161219529367486,24.750693814456977,True,False,False,False,True
26,8.55,110,424,82,0,4.0,5.917848475661263,3.106251546232834,6.831297661361751,67.0,0.15984405146502825,18.382325977894418,False,True,False,False,False
21,3.99,72,211,178,102,4.0,6.04910572914114,3.078083020008001,2.846489119490281,46.0,0.7435254493097139,18.61964963110246,False,False,False,False,True
24,8.91,92,185,161,201,1.0,5.779037569790717,2.7609676834105605,1.223006718921302,48.0,0.3011597399708242,15.95573597140767,False,True,False,False,True
